run_id,run_date,params_hash
20260212_122854,2026-02-12T12:29:17.533437,99a00b23d2f6247aea26dced82a622bd
20260212_125237,2026-02-12T12:52:49.609338,99a00b23d2f6247aea26dced82a622bd
