domain,entity_type,domain_age_years
www.familyservices.bc.ca,nonprofit,
helpstartshere.gov.bc.ca,nonprofit,
northwestvancouver.cmha.bc.ca,nonprofit,
www.vch.ca,commercial,
boomerangcc.ca,commercial,
vcfi.ca,commercial,
www.psychologytoday.com,directory,
burnabycounsellors.com,commercial,
www.blueskywellnessclinic.ca,commercial,
skylarkclinic.ca,commercial,
